chunks,samples,fit_time,predict_time
1,2000,281.000,56.754
1,4000,1000.419,112.210
1,6000,2146.892,168.342
1,2000,281.979,55.777
1,4000,991.837,111.233
1,6000,2155.254,168.487
2,2000,142.775,28.009
2,4000,511.109,55.938
2,6000,1091.200,83.876
2,2000,142.653,28.158
2,4000,506.354,56.019
2,6000,1090.466,83.806
4,2000,73.576,14.345
4,4000,256.417,28.586
4,6000,552.504,43.365
4,2000,74.111,14.607
4,4000,256.076,28.797
4,6000,550.148,42.590
8,2000,40.695,7.849
8,4000,134.004,15.038
8,6000,282.273,22.384
8,2000,40.592,7.790
8,4000,135.621,15.088
8,6000,281.990,22.193
16,2000,24.523,7.466
16,4000,74.274,8.683
16,6000,153.484,12.598
16,2000,24.551,4.882
16,4000,74.335,8.596
16,6000,153.962,12.626
24,2000,21.705,5.439
24,4000,56.918,7.592
24,6000,113.940,15.594
24,2000,20.230,4.278
24,4000,57.554,7.983
24,6000,109.304,11.062
32,2000,18.440,4.711
32,4000,54.656,9.547
32,6000,91.567,10.956
32,2000,20.252,5.442
32,4000,50.200,9.264
32,6000,91.134,11.001
40,2000,19.261,4.801
40,4000,44.944,8.677
40,6000,81.760,13.105
40,2000,19.874,4.661
40,4000,44.873,9.131
40,6000,81.953,13.319
48,2000,20.484,5.193
48,4000,42.477,9.023
48,6000,74.056,13.388
48,2000,20.946,4.922
48,4000,46.848,9.048
48,6000,73.318,12.428
