chunks,samples,fit_time,predict_time,r_squared
1,2000,227.950,44.202,0.993
1,4000,802.182,90.765,0.966
1,6000,1467.775,134.354,0.880
1,8000,2762.922,183.358,0.735
1,2000,227.067,44.865,0.993
1,4000,798.900,91.194,0.963
1,6000,1455.059,132.078,0.907
1,8000,2710.998,186.668,0.822
2,2000,115.244,22.411,0.993
2,4000,405.206,46.462,0.982
2,6000,740.396,66.900,0.878
2,8000,1333.056,89.026,0.894
2,2000,115.207,22.339,0.994
2,4000,405.151,44.989,0.969
2,6000,738.069,67.698,0.930
2,8000,1330.941,88.906,0.927
4,2000,61.626,11.607,0.994
4,4000,207.334,22.766,0.960
4,6000,378.490,34.919,0.912
4,8000,673.415,45.885,0.907
4,2000,61.345,11.931,0.994
4,4000,207.759,22.910,0.973
4,6000,375.726,34.868,0.959
4,8000,676.492,46.577,0.855
8,2000,34.178,6.353,0.993
8,4000,112.002,12.223,0.953
8,6000,195.973,18.108,0.907
8,8000,349.432,24.098,0.912
8,2000,33.923,6.391,0.994
8,4000,111.475,12.451,0.959
8,6000,196.978,17.951,0.914
8,8000,347.980,24.113,0.922
16,2000,26.976,6.422,0.994
16,4000,64.988,9.506,0.967
16,6000,111.089,13.342,0.907
16,8000,193.834,18.015,0.909
16,2000,22.040,4.949,0.994
16,4000,64.007,12.829,0.963
16,6000,111.884,13.648,0.888
16,8000,192.213,19.036,0.919
24,2000,22.160,5.412,0.993
24,4000,51.752,9.160,0.947
24,6000,83.449,15.744,0.907
24,8000,145.146,17.136,0.877
24,2000,25.456,5.119,0.993
24,4000,50.837,11.312,0.977
24,6000,83.505,13.270,0.888
24,8000,144.294,17.270,0.841
32,2000,22.658,5.504,0.994
32,4000,44.495,9.175,0.960
32,6000,72.381,14.029,0.888
32,8000,119.070,16.757,0.878
32,2000,21.106,5.130,0.994
32,4000,49.796,10.165,0.935
32,6000,72.128,12.756,0.909
32,8000,118.693,17.364,0.884
40,2000,20.433,5.341,0.992
40,4000,45.198,9.518,0.955
40,6000,70.891,13.585,0.927
40,8000,109.276,18.948,0.876
40,2000,21.031,6.091,0.992
40,4000,45.259,9.537,0.980
40,6000,70.394,13.468,0.935
40,8000,114.053,17.604,0.898
48,2000,20.711,5.337,0.994
48,4000,43.749,9.413,0.953
48,6000,65.479,12.833,0.896
48,8000,100.332,17.313,0.898
48,2000,20.882,5.511,0.994
48,4000,47.373,9.408,0.934
48,6000,61.454,13.134,0.900
48,8000,109.130,18.003,0.848
