chunks,samples,memory_usage,fit_time,predict_time,r_squared
10,8000,68016.886719,198.365,65.064,0.001
10,8000,67145.988281,207.608,61.296,0.000
20,8000,46065.152344,178.595,62.093,-0.005
20,8000,46292.332031,180.390,59.305,-0.007
40,8000,34673.851562,169.696,55.623,-0.017
40,8000,32384.753906,175.977,55.830,-0.011
80,8000,27115.546875,167.072,53.247,-0.004
80,8000,24025.507812,172.976,51.542,-0.004
120,8000,19195.007812,177.241,52.312,-0.002
120,8000,18277.945312,173.972,52.413,-0.002
160,8000,16156.890625,178.965,53.755,-0.005
160,8000,18474.046875,184.000,55.081,-0.002
200,8000,21876.761719,185.598,58.372,-0.003
200,8000,17086.359375,183.106,60.316,-0.004
240,8000,16087.71875,183.758,56.113,-0.071
240,8000,16620.164062,187.000,57.891,-0.448
